Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
41212;Nungesser - Santé;OUI;22;18;1;1;0;OUI;OUI;2025-10-18T18:39:38+02:00;48.852335, 2.448967;Fontenay-sous-Bois;94033;
12039;Général Michel Bizot - Claude Decaen;OUI;50;34;16;13;3;OUI;OUI;2025-10-18T18:39:55+02:00;48.834812629825, 2.4009277881277;Paris;75056;
8003;Galilée - Vernet;OUI;47;39;7;4;3;OUI;OUI;2025-10-18T18:39:27+02:00;48.871715878697, 2.2985444962978;Paris;75056;
21112;Claude Debussy - Marc Bloch;OUI;56;49;4;3;1;OUI;OUI;2025-10-18T18:40:14+02:00;48.910388180512, 2.3117771744728;Clichy;92024;
7007;Musée d'Orsay;OUI;65;47;17;11;6;OUI;OUI;2025-10-18T18:39:53+02:00;48.859726157909, 2.3258604481816;Paris;75056;
24010;Charles de Gaulle - Rue de l'Alma;OUI;28;2;22;14;8;OUI;OUI;2025-10-18T18:40:11+02:00;48.896620592993, 2.252313240191;Courbevoie;92026;
26011;Ménil - Argenteuil;OUI;20;5;9;4;5;OUI;OUI;2025-10-18T18:31:42+02:00;48.925901818305, 2.2741496502338;Asnières-sur-Seine;92004;
16140;Hippodrome de Longchamp;OUI;30;18;11;9;2;OUI;OUI;2025-10-18T18:39:47+02:00;48.86413226532, 2.239905372262;Paris;75056;
45005;Stalingrad - Général de Gaulle;OUI;26;15;11;7;4;OUI;OUI;2025-10-18T18:33:56+02:00;48.823450589614, 2.4965062363218;Champigny-sur-Marne;94017;
3201;Payenne - Square George Caïn;OUI;24;4;19;16;3;OUI;OUI;2025-10-18T18:39:36+02:00;48.8578329, 2.3622643;Paris;75056;
35021;Cartier Bresson - Denis Papin;OUI;31;27;3;0;3;OUI;OUI;2025-10-18T18:37:03+02:00;48.902616, 2.397814;Pantin;93055;
21508;Georges Pompidou - Verdun;OUI;26;25;1;0;1;OUI;OUI;2025-10-18T18:36:37+02:00;48.875481, 2.232443;Suresnes;92073;
18045;Pierre Ginier - Clichy;OUI;16;0;15;0;15;OUI;OUI;2025-10-18T18:38:03+02:00;48.8867667, 2.326228;Paris;75056;
15032;Félix Faure - Lourmel;OUI;58;22;36;33;3;OUI;OUI;2025-10-18T18:40:27+02:00;48.83868901709515, 2.2818081825971603;Paris;75056;
10025;Jemmapes - Ecluses Saint-Martin;OUI;15;2;11;4;7;OUI;OUI;2025-10-18T18:39:29+02:00;48.87748519186726, 2.3660067468881607;Paris;75056;
19045;Macdonald - Césaria Evora;OUI;67;54;9;5;4;OUI;OUI;2025-10-18T18:40:38+02:00;48.89883, 2.37933;Paris;75056;
32305;Saint-Germain - Verdun;OUI;30;29;0;0;0;OUI;OUI;2025-10-18T18:32:21+02:00;48.882877330093, 2.4331868384644;Romainville;93063;
22302;Gare RER - Général de Gaulle;OUI;41;34;6;6;0;OUI;OUI;2025-10-18T18:38:11+02:00;48.933548439566, 2.3064726536317;Gennevilliers;92036;
11201;Faubourg St-Antoine - Place de la Nation;OUI;16;10;6;1;5;OUI;OUI;2025-10-18T18:40:29+02:00;48.8487726, 2.393606;Paris;75056;
13053;Chevaleret - Tolbiac;OUI;35;14;18;18;0;OUI;OUI;2025-10-18T18:39:36+02:00;48.82941, 2.375934;Paris;75056;
22602;Place Henri Dunant - Gare RER;OUI;31;16;15;10;5;OUI;OUI;2025-10-18T18:40:05+02:00;48.788093281931, 2.2909234046643;Fontenay-aux-Roses;92032;
34009;Dora Maar - Nadia Guendouz;OUI;30;5;22;19;3;OUI;OUI;2025-10-18T18:40:19+02:00;48.905452421305, 2.3220406472683;Saint-Ouen-sur-Seine;93070;
25010;Maréchal Leclerc de Hauteclocque - Marché Buzenval;OUI;30;22;8;1;7;OUI;OUI;2025-10-18T18:40:36+02:00;48.858446, 2.192077;Rueil-Malmaison;92063;
41304;Port - Maurice Chevalier;OUI;30;3;27;20;7;OUI;OUI;2025-10-18T18:40:33+02:00;48.832474421632, 2.490257616467;Nogent-sur-Marne;94052;
12106;Gare de Lyon - Roland Barthes;OUI;68;9;57;42;15;OUI;OUI;2025-10-18T18:40:18+02:00;48.84395729494058, 2.3790882155299187;Paris;75056;
10151;Gare du Nord - Faubourg Saint-Denis;OUI;28;11;8;3;5;OUI;OUI;2025-10-18T18:40:39+02:00;48.879612765504, 2.3568402975798;Paris;75056;
32023;Guy Môquet - Jean Moulin;OUI;30;13;16;12;4;OUI;OUI;2025-10-18T18:39:01+02:00;48.940931521020836, 2.363948999931771;Saint-Denis;93066;
15039;Abbé Groult - Convention;OUI;27;24;3;2;1;OUI;OUI;2025-10-18T18:38:16+02:00;48.83596927866069, 2.302064039509349;Paris;75056;
23201;Avenir;OUI;45;37;7;0;7;OUI;OUI;2025-10-18T18:37:02+02:00;48.8103438, 2.3003776;Châtillon;92020;
22208;Stalingrad - Barbara;OUI;20;16;4;3;1;OUI;OUI;2025-10-18T18:36:22+02:00;48.809223658808, 2.3175904558822;Bagneux;92007;
12001;Bastille - Biscornet;OUI;62;2;57;49;8;OUI;OUI;2025-10-18T18:40:34+02:00;48.851355779579, 2.369220033288;Paris;75056;
22209;Verdun - Henri Barbusse;OUI;24;19;4;1;3;OUI;OUI;2025-10-18T18:39:43+02:00;48.802056061754, 2.3159965061736;Bagneux;92007;
22018;Charles de Gaulle - Les Sablons;OUI;35;30;5;3;2;OUI;OUI;2025-10-18T18:39:57+02:00;48.880987514929, 2.2715748726513;Neuilly-sur-Seine;92051;
14110;Abbé Carton - Plantes;OUI;25;20;1;1;0;OUI;OUI;2025-10-18T18:40:19+02:00;48.827673823166, 2.3209181427956;Paris;75056;
21320;Président Roosevelt - Rouget de Lisle;OUI;40;34;6;4;2;OUI;OUI;2025-10-18T18:37:54+02:00;48.83047518749, 2.2616135525345;Issy-les-Moulineaux;92040;
18018;Carpeaux - Place Jacques Froment;OUI;19;19;0;0;0;OUI;OUI;2025-10-18T18:38:38+02:00;48.8906542, 2.3309428;Paris;75056;
23203;Division Leclerc - Kléber;OUI;25;14;11;10;1;OUI;OUI;2025-10-18T18:39:08+02:00;48.798666226364, 2.2833752789972;Châtillon;92020;
22305;Jean Jaurès - Place du Dr Roux;OUI;35;27;6;5;1;OUI;OUI;2025-10-18T18:36:37+02:00;48.927567032796, 2.2947337017374;Gennevilliers;92036;
9035;Gare Saint-Lazare - Place de Budapest;OUI;44;25;15;5;10;OUI;OUI;2025-10-18T18:37:03+02:00;48.877753, 2.327339;Paris;75056;
21954;Val-Fleury;OUI;23;11;10;0;10;OUI;OUI;2025-10-18T18:37:41+02:00;48.807671407991, 2.2407217696309;Meudon;92048;
17126;Hélène et François Missoffe - Emile Borel;OUI;32;3;27;18;9;OUI;OUI;2025-10-18T18:39:47+02:00;48.89990653843488, 2.321543991674844;Paris;75056;
22507;Châteaudun - Place de la Liberté;OUI;26;15;9;9;0;OUI;OUI;2025-10-18T18:36:18+02:00;48.90970830301211, 2.2454486480600626;La Garenne-Colombes;92035;
17127;Porte de Clichy - Place des Nations Unies;OUI;40;19;21;21;0;OUI;OUI;2025-10-18T18:36:53+02:00;48.896737263309504, 2.310542999196392;Paris;75056;
